LGA_NAME16	Year	NonSchoolQualification	persons
Wudinna (DC)	2016	Bachelor	77
Wudinna (DC)	2016	Graduate Diploma and Graduate Certificate	7
Wudinna (DC)	2016	Postgraduate	5
Yankalilla (DC)	2006		2970
Yankalilla (DC)	2006	Certificate nfd	66
Yankalilla (DC)	2006	Certificate I and II Level	36
Yankalilla (DC)	2006	Certificate III and IV Level	557
Yankalilla (DC)	2006	Advanced Diploma and Diploma	223
Yankalilla (DC)	2006	Bachelor	218
Yankalilla (DC)	2006	Graduate Diploma and Graduate Certificate	39
Yankalilla (DC)	2006	Postgraduate	42
Yankalilla (DC)	2011		2893
Yankalilla (DC)	2011	Certificate nfd	74
Yankalilla (DC)	2011	Certificate I and II Level	57
Yankalilla (DC)	2011	Certificate III and IV Level	687
Yankalilla (DC)	2011	Advanced Diploma and Diploma	316
Yankalilla (DC)	2011	Bachelor	256
Yankalilla (DC)	2011	Graduate Diploma and Graduate Certificate	49
Yankalilla (DC)	2011	Postgraduate	64
Yankalilla (DC)	2016		3161
Yankalilla (DC)	2016	Certificate nfd	90
Yankalilla (DC)	2016	Certificate I and II Level	77
Yankalilla (DC)	2016	Certificate III and IV Level	856
Yankalilla (DC)	2016	Advanced Diploma and Diploma	421
Yankalilla (DC)	2016	Bachelor	388
Yankalilla (DC)	2016	Graduate Diploma and Graduate Certificate	73
Yankalilla (DC)	2016	Postgraduate	93
Yorke Peninsula (DC)	2006		8618
Yorke Peninsula (DC)	2006	Certificate nfd	135
Yorke Peninsula (DC)	2006	Certificate I and II Level	76
Yorke Peninsula (DC)	2006	Certificate III and IV Level	1426
Yorke Peninsula (DC)	2006	Advanced Diploma and Diploma	404
Yorke Peninsula (DC)	2006	Bachelor	427
Yorke Peninsula (DC)	2006	Graduate Diploma and Graduate Certificate	62
Yorke Peninsula (DC)	2006	Postgraduate	44
Yorke Peninsula (DC)	2011		8067
Yorke Peninsula (DC)	2011	Certificate nfd	135
Yorke Peninsula (DC)	2011	Certificate I and II Level	100
Yorke Peninsula (DC)	2011	Certificate III and IV Level	1649
Yorke Peninsula (DC)	2011	Advanced Diploma and Diploma	507
Yorke Peninsula (DC)	2011	Bachelor	459
Yorke Peninsula (DC)	2011	Graduate Diploma and Graduate Certificate	69
Yorke Peninsula (DC)	2011	Postgraduate	39
Yorke Peninsula (DC)	2016		7632
Yorke Peninsula (DC)	2016	Certificate nfd	181
Yorke Peninsula (DC)	2016	Certificate I and II Level	109
Yorke Peninsula (DC)	2016	Certificate III and IV Level	1819
Yorke Peninsula (DC)	2016	Advanced Diploma and Diploma	623
Yorke Peninsula (DC)	2016	Bachelor	554
Yorke Peninsula (DC)	2016	Graduate Diploma and Graduate Certificate	83
Yorke Peninsula (DC)	2016	Postgraduate	55
Unincorporated SA	2006		2866
Unincorporated SA	2006	Certificate nfd	37
Unincorporated SA	2006	Certificate I and II Level	48
Unincorporated SA	2006	Certificate III and IV Level	499
Unincorporated SA	2006	Advanced Diploma and Diploma	130
Unincorporated SA	2006	Bachelor	132
Unincorporated SA	2006	Graduate Diploma and Graduate Certificate	19
Unincorporated SA	2006	Postgraduate	12
Unincorporated SA	2011		3224
Unincorporated SA	2011	Certificate nfd	45
Unincorporated SA	2011	Certificate I and II Level	60
Unincorporated SA	2011	Certificate III and IV Level	692
Unincorporated SA	2011	Advanced Diploma and Diploma	171
Unincorporated SA	2011	Bachelor	198
Unincorporated SA	2011	Graduate Diploma and Graduate Certificate	22
Unincorporated SA	2011	Postgraduate	32
Unincorporated SA	2016		2448
Unincorporated SA	2016	Certificate nfd	46
Unincorporated SA	2016	Certificate I and II Level	60
Unincorporated SA	2016	Certificate III and IV Level	584
Unincorporated SA	2016	Advanced Diploma and Diploma	164
Unincorporated SA	2016	Bachelor	176
Unincorporated SA	2016	Graduate Diploma and Graduate Certificate	26
Unincorporated SA	2016	Postgraduate	20
No usual address (SA)	2006	Certificate nfd	34
No usual address (SA)	2006	Certificate I and II Level	32
No usual address (SA)	2006	Certificate III and IV Level	352
No usual address (SA)	2006	Advanced Diploma and Diploma	128
No usual address (SA)	2006	Bachelor	231
No usual address (SA)	2006	Graduate Diploma and Graduate Certificate	15
No usual address (SA)	2006	Postgraduate	49
No usual address (SA)	2011	Certificate nfd	57
No usual address (SA)	2011	Certificate I and II Level	48
No usual address (SA)	2011	Certificate III and IV Level	396
No usual address (SA)	2011	Advanced Diploma and Diploma	147
No usual address (SA)	2011	Bachelor	239
No usual address (SA)	2011	Graduate Diploma and Graduate Certificate	22
No usual address (SA)	2011	Postgraduate	66
No usual address (SA)	2016	Certificate nfd	47
No usual address (SA)	2016	Certificate I and II Level	25
No usual address (SA)	2016	Certificate III and IV Level	402
No usual address (SA)	2016	Advanced Diploma and Diploma	145
No usual address (SA)	2016	Bachelor	219
No usual address (SA)	2016	Graduate Diploma and Graduate Certificate	24
No usual address (SA)	2016	Postgraduate	59
Migratory - Offshore - Shipping (SA)	2006	Certificate nfd	0
Migratory - Offshore - Shipping (SA)	2006	Certificate I and II Level	0
Migratory - Offshore - Shipping (SA)	2006	Certificate III and IV Level	0
Migratory - Offshore - Shipping (SA)	2006	Advanced Diploma and Diploma	0
Migratory - Offshore - Shipping (SA)	2006	Bachelor	0
Migratory - Offshore - Shipping (SA)	2006	Graduate Diploma and Graduate Certificate	0
Migratory - Offshore - Shipping (SA)	2006	Postgraduate	0
Migratory - Offshore - Shipping (SA)	2011	Certificate nfd	0
Migratory - Offshore - Shipping (SA)	2011	Certificate I and II Level	0
Migratory - Offshore - Shipping (SA)	2011	Certificate III and IV Level	0
Migratory - Offshore - Shipping (SA)	2011	Advanced Diploma and Diploma	0
Migratory - Offshore - Shipping (SA)	2011	Bachelor	0
Migratory - Offshore - Shipping (SA)	2011	Graduate Diploma and Graduate Certificate	0
Migratory - Offshore - Shipping (SA)	2011	Postgraduate	0
Migratory - Offshore - Shipping (SA)	2016	Certificate nfd	0
Migratory - Offshore - Shipping (SA)	2016	Certificate I and II Level	0
Migratory - Offshore - Shipping (SA)	2016	Certificate III and IV Level	0
Migratory - Offshore - Shipping (SA)	2016	Advanced Diploma and Diploma	0
Migratory - Offshore - Shipping (SA)	2016	Bachelor	0
Migratory - Offshore - Shipping (SA)	2016	Graduate Diploma and Graduate Certificate	0
Migratory - Offshore - Shipping (SA)	2016	Postgraduate	0
Albany (C)	2006		22572
Albany (C)	2006	Certificate nfd	521
Albany (C)	2006	Certificate I and II Level	379
Albany (C)	2006	Certificate III and IV Level	3902
Albany (C)	2006	Advanced Diploma and Diploma	1777
Albany (C)	2006	Bachelor	1920
Albany (C)	2006	Graduate Diploma and Graduate Certificate	273
Albany (C)	2006	Postgraduate	229
Albany (C)	2011		22593
Albany (C)	2011	Certificate nfd	520
Albany (C)	2011	Certificate I and II Level	462
Albany (C)	2011	Certificate III and IV Level	4909
Albany (C)	2011	Advanced Diploma and Diploma	2131
Albany (C)	2011	Bachelor	2322
Albany (C)	2011	Graduate Diploma and Graduate Certificate	376
Albany (C)	2011	Postgraduate	338
Albany (C)	2016		23019
Albany (C)	2016	Certificate nfd	667
Albany (C)	2016	Certificate I and II Level	543
Albany (C)	2016	Certificate III and IV Level	5844
Albany (C)	2016	Advanced Diploma and Diploma	2639
Albany (C)	2016	Bachelor	2856
Albany (C)	2016	Graduate Diploma and Graduate Certificate	506
Albany (C)	2016	Postgraduate	509
Armadale (C)	2006		36894
Armadale (C)	2006	Certificate nfd	648
Armadale (C)	2006	Certificate I and II Level	498
Armadale (C)	2006	Certificate III and IV Level	7009
Armadale (C)	2006	Advanced Diploma and Diploma	2444
Armadale (C)	2006	Bachelor	2425
Armadale (C)	2006	Graduate Diploma and Graduate Certificate	306
Armadale (C)	2006	Postgraduate	313
Armadale (C)	2011		41734
Armadale (C)	2011	Certificate nfd	886
Armadale (C)	2011	Certificate I and II Level	725
Armadale (C)	2011	Certificate III and IV Level	10138
Armadale (C)	2011	Advanced Diploma and Diploma	3609
Armadale (C)	2011	Bachelor	3966
Armadale (C)	2011	Graduate Diploma and Graduate Certificate	532
Armadale (C)	2011	Postgraduate	707
Armadale (C)	2016		49478
Armadale (C)	2016	Certificate nfd	1346
Armadale (C)	2016	Certificate I and II Level	934
Armadale (C)	2016	Certificate III and IV Level	12313
Armadale (C)	2016	Advanced Diploma and Diploma	5643
Armadale (C)	2016	Bachelor	7194
Armadale (C)	2016	Graduate Diploma and Graduate Certificate	837
Armadale (C)	2016	Postgraduate	1857
Ashburton (S)	2006		4321
Ashburton (S)	2006	Certificate nfd	82
Ashburton (S)	2006	Certificate I and II Level	55
Ashburton (S)	2006	Certificate III and IV Level	1005
Ashburton (S)	2006	Advanced Diploma and Diploma	206
Ashburton (S)	2006	Bachelor	317
Ashburton (S)	2006	Graduate Diploma and Graduate Certificate	45
Ashburton (S)	2006	Postgraduate	49
Ashburton (S)	2011		6201
Ashburton (S)	2011	Certificate nfd	106
Ashburton (S)	2011	Certificate I and II Level	115
Ashburton (S)	2011	Certificate III and IV Level	2279
Ashburton (S)	2011	Advanced Diploma and Diploma	503
Ashburton (S)	2011	Bachelor	644
Ashburton (S)	2011	Graduate Diploma and Graduate Certificate	80
Ashburton (S)	2011	Postgraduate	73
Ashburton (S)	2016		7110
Ashburton (S)	2016	Certificate nfd	167
Ashburton (S)	2016	Certificate I and II Level	125
Ashburton (S)	2016	Certificate III and IV Level	3620
Ashburton (S)	2016	Advanced Diploma and Diploma	760
Ashburton (S)	2016	Bachelor	964
Ashburton (S)	2016	Graduate Diploma and Graduate Certificate	96
Ashburton (S)	2016	Postgraduate	184
Augusta-Margaret River (S)	2006		6905
Augusta-Margaret River (S)	2006	Certificate nfd	180
Augusta-Margaret River (S)	2006	Certificate I and II Level	92
Augusta-Margaret River (S)	2006	Certificate III and IV Level	1377
Augusta-Margaret River (S)	2006	Advanced Diploma and Diploma	695
Augusta-Margaret River (S)	2006	Bachelor	869
Augusta-Margaret River (S)	2006	Graduate Diploma and Graduate Certificate	131
Augusta-Margaret River (S)	2006	Postgraduate	101
Augusta-Margaret River (S)	2011		7386
Augusta-Margaret River (S)	2011	Certificate nfd	165
Augusta-Margaret River (S)	2011	Certificate I and II Level	121
Augusta-Margaret River (S)	2011	Certificate III and IV Level	1740
Augusta-Margaret River (S)	2011	Advanced Diploma and Diploma	837
Augusta-Margaret River (S)	2011	Bachelor	1206
Augusta-Margaret River (S)	2011	Graduate Diploma and Graduate Certificate	167
Augusta-Margaret River (S)	2011	Postgraduate	139
Augusta-Margaret River (S)	2016		8282
Augusta-Margaret River (S)	2016	Certificate nfd	256
Augusta-Margaret River (S)	2016	Certificate I and II Level	163
Augusta-Margaret River (S)	2016	Certificate III and IV Level	2252
Augusta-Margaret River (S)	2016	Advanced Diploma and Diploma	1068
Augusta-Margaret River (S)	2016	Bachelor	1758
Augusta-Margaret River (S)	2016	Graduate Diploma and Graduate Certificate	237
Augusta-Margaret River (S)	2016	Postgraduate	242
Bassendean (T)	2006		9136
Bassendean (T)	2006	Certificate nfd	191
Bassendean (T)	2006	Certificate I and II Level	123
Bassendean (T)	2006	Certificate III and IV Level	1687
Bassendean (T)	2006	Advanced Diploma and Diploma	827
Bassendean (T)	2006	Bachelor	1160
Bassendean (T)	2006	Graduate Diploma and Graduate Certificate	160
Bassendean (T)	2006	Postgraduate	179
Bassendean (T)	2011		9039
Bassendean (T)	2011	Certificate nfd	181
Bassendean (T)	2011	Certificate I and II Level	145
Bassendean (T)	2011	Certificate III and IV Level	2004
Bassendean (T)	2011	Advanced Diploma and Diploma	981
Bassendean (T)	2011	Bachelor	1549
Bassendean (T)	2011	Graduate Diploma and Graduate Certificate	220
Bassendean (T)	2011	Postgraduate	286
Bassendean (T)	2016		8739
Bassendean (T)	2016	Certificate nfd	220
Bassendean (T)	2016	Certificate I and II Level	149
Bassendean (T)	2016	Certificate III and IV Level	2120
Bassendean (T)	2016	Advanced Diploma and Diploma	1141
Bassendean (T)	2016	Bachelor	1935
Bassendean (T)	2016	Graduate Diploma and Graduate Certificate	321
Bassendean (T)	2016	Postgraduate	467
Bayswater (C)	2006		36784
Bayswater (C)	2006	Certificate nfd	806
Bayswater (C)	2006	Certificate I and II Level	476
Bayswater (C)	2006	Certificate III and IV Level	6570
Bayswater (C)	2006	Advanced Diploma and Diploma	3659
Bayswater (C)	2006	Bachelor	5920
Bayswater (C)	2006	Graduate Diploma and Graduate Certificate	703
Bayswater (C)	2006	Postgraduate	885
Bayswater (C)	2011		36907
Bayswater (C)	2011	Certificate nfd	793
Bayswater (C)	2011	Certificate I and II Level	526
Bayswater (C)	2011	Certificate III and IV Level	7543
Bayswater (C)	2011	Advanced Diploma and Diploma	4609
Bayswater (C)	2011	Bachelor	8112
Bayswater (C)	2011	Graduate Diploma and Graduate Certificate	1017
Bayswater (C)	2011	Postgraduate	1757
Bayswater (C)	2016		35939
Bayswater (C)	2016	Certificate nfd	1017
Bayswater (C)	2016	Certificate I and II Level	538
Bayswater (C)	2016	Certificate III and IV Level	8017
Bayswater (C)	2016	Advanced Diploma and Diploma	5171
Bayswater (C)	2016	Bachelor	10071
Bayswater (C)	2016	Graduate Diploma and Graduate Certificate	1292
Bayswater (C)	2016	Postgraduate	2632
Belmont (C)	2006		21512
Belmont (C)	2006	Certificate nfd	409
Belmont (C)	2006	Certificate I and II Level	247
Belmont (C)	2006	Certificate III and IV Level	3650
Belmont (C)	2006	Advanced Diploma and Diploma	1624
Belmont (C)	2006	Bachelor	2315
Belmont (C)	2006	Graduate Diploma and Graduate Certificate	237
Belmont (C)	2006	Postgraduate	340
Belmont (C)	2011		22773
Belmont (C)	2011	Certificate nfd	426
Belmont (C)	2011	Certificate I and II Level	336
Belmont (C)	2011	Certificate III and IV Level	4455
Belmont (C)	2011	Advanced Diploma and Diploma	2317
Belmont (C)	2011	Bachelor	3695
Belmont (C)	2011	Graduate Diploma and Graduate Certificate	384
Belmont (C)	2011	Postgraduate	822
Belmont (C)	2016		23838
Belmont (C)	2016	Certificate nfd	584
Belmont (C)	2016	Certificate I and II Level	306
Belmont (C)	2016	Certificate III and IV Level	5038
Belmont (C)	2016	Advanced Diploma and Diploma	2883
Belmont (C)	2016	Bachelor	5111
Belmont (C)	2016	Graduate Diploma and Graduate Certificate	529
Belmont (C)	2016	Postgraduate	1393
Beverley (S)	2006		1188
Beverley (S)	2006	Certificate nfd	23
Beverley (S)	2006	Certificate I and II Level	12
Beverley (S)	2006	Certificate III and IV Level	158
Beverley (S)	2006	Advanced Diploma and Diploma	83
Beverley (S)	2006	Bachelor	84
Beverley (S)	2006	Graduate Diploma and Graduate Certificate	11
Beverley (S)	2006	Postgraduate	4
Beverley (S)	2011		1157
Beverley (S)	2011	Certificate nfd	13
Beverley (S)	2011	Certificate I and II Level	16
Beverley (S)	2011	Certificate III and IV Level	190
Beverley (S)	2011	Advanced Diploma and Diploma	82
Beverley (S)	2011	Bachelor	90
Beverley (S)	2011	Graduate Diploma and Graduate Certificate	16
Beverley (S)	2011	Postgraduate	3
Beverley (S)	2016		1219
Beverley (S)	2016	Certificate nfd	35
Beverley (S)	2016	Certificate I and II Level	12
Beverley (S)	2016	Certificate III and IV Level	243
Beverley (S)	2016	Advanced Diploma and Diploma	102
Beverley (S)	2016	Bachelor	101
Beverley (S)	2016	Graduate Diploma and Graduate Certificate	17
Beverley (S)	2016	Postgraduate	16
Boddington (S)	2006		1047
Boddington (S)	2006	Certificate nfd	11
Boddington (S)	2006	Certificate I and II Level	8
Boddington (S)	2006	Certificate III and IV Level	169
Boddington (S)	2006	Advanced Diploma and Diploma	59
Boddington (S)	2006	Bachelor	73
Boddington (S)	2006	Graduate Diploma and Graduate Certificate	9
Boddington (S)	2006	Postgraduate	4
Boddington (S)	2011		1513
Boddington (S)	2011	Certificate nfd	22
Boddington (S)	2011	Certificate I and II Level	27
Boddington (S)	2011	Certificate III and IV Level	380
Boddington (S)	2011	Advanced Diploma and Diploma	102
Boddington (S)	2011	Bachelor	153
Boddington (S)	2011	Graduate Diploma and Graduate Certificate	12
Boddington (S)	2011	Postgraduate	19
Boddington (S)	2016		1238
Boddington (S)	2016	Certificate nfd	26
Boddington (S)	2016	Certificate I and II Level	12
Boddington (S)	2016	Certificate III and IV Level	298
Boddington (S)	2016	Advanced Diploma and Diploma	110
Boddington (S)	2016	Bachelor	124
Boddington (S)	2016	Graduate Diploma and Graduate Certificate	16
Boddington (S)	2016	Postgraduate	20
Boyup Brook (S)	2006		1096
Boyup Brook (S)	2006	Certificate nfd	29
Boyup Brook (S)	2006	Certificate I and II Level	11
Boyup Brook (S)	2006	Certificate III and IV Level	156
Boyup Brook (S)	2006	Advanced Diploma and Diploma	74
Boyup Brook (S)	2006	Bachelor	98
Boyup Brook (S)	2006	Graduate Diploma and Graduate Certificate	12
Boyup Brook (S)	2006	Postgraduate	6
Boyup Brook (S)	2011		1113
Boyup Brook (S)	2011	Certificate nfd	32
Boyup Brook (S)	2011	Certificate I and II Level	22
Boyup Brook (S)	2011	Certificate III and IV Level	207
Boyup Brook (S)	2011	Advanced Diploma and Diploma	89
Boyup Brook (S)	2011	Bachelor	115
Boyup Brook (S)	2011	Graduate Diploma and Graduate Certificate	8
Boyup Brook (S)	2011	Postgraduate	3
Boyup Brook (S)	2016		1177
Boyup Brook (S)	2016	Certificate nfd	28
Boyup Brook (S)	2016	Certificate I and II Level	20
Boyup Brook (S)	2016	Certificate III and IV Level	226
Boyup Brook (S)	2016	Advanced Diploma and Diploma	102
Boyup Brook (S)	2016	Bachelor	123
Boyup Brook (S)	2016	Graduate Diploma and Graduate Certificate	11
Boyup Brook (S)	2016	Postgraduate	14
Bridgetown-Greenbushes (S)	2006		2779
Bridgetown-Greenbushes (S)	2006	Certificate nfd	65
Bridgetown-Greenbushes (S)	2006	Certificate I and II Level	49
Bridgetown-Greenbushes (S)	2006	Certificate III and IV Level	521
Bridgetown-Greenbushes (S)	2006	Advanced Diploma and Diploma	225
Bridgetown-Greenbushes (S)	2006	Bachelor	240
Bridgetown-Greenbushes (S)	2006	Graduate Diploma and Graduate Certificate	39
Bridgetown-Greenbushes (S)	2006	Postgraduate	35
Bridgetown-Greenbushes (S)	2011		2874
Bridgetown-Greenbushes (S)	2011	Certificate nfd	59
Bridgetown-Greenbushes (S)	2011	Certificate I and II Level	50
Bridgetown-Greenbushes (S)	2011	Certificate III and IV Level	645
Bridgetown-Greenbushes (S)	2011	Advanced Diploma and Diploma	284
Bridgetown-Greenbushes (S)	2011	Bachelor	313
Bridgetown-Greenbushes (S)	2011	Graduate Diploma and Graduate Certificate	42
Bridgetown-Greenbushes (S)	2011	Postgraduate	51
Bridgetown-Greenbushes (S)	2016		2889
Bridgetown-Greenbushes (S)	2016	Certificate nfd	99
Bridgetown-Greenbushes (S)	2016	Certificate I and II Level	60
Bridgetown-Greenbushes (S)	2016	Certificate III and IV Level	813
Bridgetown-Greenbushes (S)	2016	Advanced Diploma and Diploma	325
Bridgetown-Greenbushes (S)	2016	Bachelor	368
Bridgetown-Greenbushes (S)	2016	Graduate Diploma and Graduate Certificate	54
Bridgetown-Greenbushes (S)	2016	Postgraduate	52
Brookton (S)	2006		793
Brookton (S)	2006	Certificate nfd	16
Brookton (S)	2006	Certificate I and II Level	6
Brookton (S)	2006	Certificate III and IV Level	81
Brookton (S)	2006	Advanced Diploma and Diploma	37
Brookton (S)	2006	Bachelor	42
Brookton (S)	2006	Graduate Diploma and Graduate Certificate	5
Brookton (S)	2006	Postgraduate	3
Brookton (S)	2011		733
Brookton (S)	2011	Certificate nfd	10
Brookton (S)	2011	Certificate I and II Level	8
Brookton (S)	2011	Certificate III and IV Level	96
Brookton (S)	2011	Advanced Diploma and Diploma	32
Brookton (S)	2011	Bachelor	37
Brookton (S)	2011	Graduate Diploma and Graduate Certificate	11
Brookton (S)	2011	Postgraduate	5
Brookton (S)	2016		723
Brookton (S)	2016	Certificate nfd	11
Brookton (S)	2016	Certificate I and II Level	10
Brookton (S)	2016	Certificate III and IV Level	113
Brookton (S)	2016	Advanced Diploma and Diploma	48
Brookton (S)	2016	Bachelor	47
Brookton (S)	2016	Graduate Diploma and Graduate Certificate	12
